RDIST_ML,RDIST_AP,RDIST,MDIST_ML,MDIST_AP,MDIST,TOTEX_ML,TOTEX_AP,TOTEX,MVELO_ML,MVELO_AP,MVELO,MFREQ_ML,MFREQ_AP,MFREQ,AREA_CE,RDIST_ML,RDIST_AP,RDIST,MDIST_ML,MDIST_AP,MDIST,TOTEX_ML,TOTEX_AP,TOTEX,MVELO_ML,MVELO_AP,MVELO,MFREQ_ML,MFREQ_AP,MFREQ,AREA_CE,RDIST_ML,RDIST_AP,RDIST,MDIST_ML,MDIST_AP,MDIST,TOTEX_ML,TOTEX_AP,TOTEX,MVELO_ML,MVELO_AP,MVELO,MFREQ_ML,MFREQ_AP,MFREQ,AREA_CE,RDIST_ML,RDIST_AP,RDIST,MDIST_ML,MDIST_AP,MDIST,TOTEX_ML,TOTEX_AP,TOTEX,MVELO_ML,MVELO_AP,MVELO,MFREQ_ML,MFREQ_AP,MFREQ,AREA_CE
-0.3858607018374798,-0.31001584643944935,-0.27967790428023714,-0.4010296729170858,-0.3454101122918636,-0.31001584643944935,0.9692340479406639,1.2422755273735735,2.0260056998198883,-0.3454101122918636,-0.3201284938258534,-0.23922731473462092,-0.431367615076298,-0.43642393876950003,-0.38080437814427776,-0.05214333808614587,-0.5352145329292727,-0.3844830473078273,-0.36564161160514663,-0.5634766864832937,-0.4504280722672097,-0.42216591871318865,0.6894787877449708,2.1214279011487016,2.743195279337164,-0.516373097226592,-0.375062329456487,-0.3091173044971047,-0.5634766864832937,-0.544635250780613,-0.42216591871318865,-0.10186151176761729,-0.36132363188713984,-0.37186361021019226,-0.29281377278729936,-0.4034835451793495,-0.3824035885332447,-0.31389372943340416,1.346152856447348,0.7769940270025189,2.015441479961175,-0.3455136644025613,-0.4034835451793495,-0.28227379446424694,-0.46672341511766385,-0.49307336092529486,-0.4403734693100329,0.41863476401873734,0.43,1.05,1.13,0.35,0.89,0.97,7.33,4.81,9.58,0.73,0.48,0.96,0.22,0.09,0.16,4.14
-0.39310530372001357,-0.266315400144372,-0.2482025567764232,-0.4066899362459751,-0.29348466519629524,-0.27084361098635923,1.146486382555634,0.9517733163501844,1.8981693823255086,-0.32065393024821837,-0.33876677361616714,-0.243674345934436,-0.4157463579299495,-0.44291562298187276,-0.402161725403988,0.04613114795274466,-0.4119761403458323,-0.26667963236199727,-0.24246354769802478,-0.43134900807701027,-0.28120928316038074,-0.2521499815636138,1.1620693628123804,0.9053788653742719,1.9466705059250895,-0.36354397101788727,-0.3877600556818597,-0.28605250009317523,-0.46525152660657176,-0.49915404513613326,-0.46525152660657176,0.33872248423731527,-0.13539076458500765,-0.15966249829212384,-0.1301896787906256,-0.1423255456441837,-0.1631298888217119,-0.13452391695261062,0.6742449240737975,0.1723401449159301,0.8094731547277308,-0.09898316402433331,-0.14926032670335976,-0.0851136019059812,-0.1631298888217119,-0.17266521277807895,-0.15706195539493284,0.035378218997202886,0.75,0.28,0.8,0.65,0.2,0.73,13.91,4.7,15.4,1.39,0.47,1.54,0.31,0.19,0.34,4.01
-0.40767521052554495,-0.30406033099711605,-0.2793901215855853,-0.4274113780547695,-0.3435326660555651,-0.3139284147617283,0.95412034899095,1.2008224431062569,1.9606648929814026,-0.3632688335847897,-0.338598624173259,-0.26458799593866683,-0.44714754558399405,-0.4619496712309125,-0.4126092524078511,0.2485523598211718,-0.37271970780369423,-0.24515788267301813,-0.23718526860235087,-0.3846786289096951,-0.2810346459910208,-0.26110311081435267,0.516226761075705,1.3334197033190989,1.7639408631351305,-0.3408292515210252,-0.26110311081435267,-0.21725373342568272,-0.38866493594502877,-0.3846786289096951,-0.35677447966235976,0.11759605754234201,-0.18115341068891666,-0.14628169964335025,-0.1267945670002396,-0.1903841577303901,-0.15243553100433255,-0.1329483983612219,0.48038346061668125,0.31833256811081384,0.7819211973048141,-0.1729483022076069,-0.1893585191702264,-0.1432047839628591,-0.22833278445644767,-0.23551225437759368,-0.2314097001369388,0.550126882707814,0.48487884521484376,0.36590240478515623,0.65137939453125,0.40312408447265624,0.3100698852539063,0.5792623901367188,6.578931884765625,4.193753356933594,8.647061462402345,0.6600201416015625,0.42339660644531246,0.8690597534179687,0.18344970703125002,0.14091064453125002,0.25556671142578125,3.080758666992187
-0.43163121207179506,-0.23732777255394522,-0.2262247188672109,-0.4482857926018965,-0.2872915141442495,-0.27063693361414803,0.5787466734210243,1.639088300504148,2.0665558674434177,-0.40942510469832655,-0.30394609467435085,-0.2595338799274138,-0.46494037313199793,-0.4593888462886308,-0.42607968522842793,-0.05967891356619677,-0.3940319317415455,-0.3879699020224448,-0.3273496048314378,-0.424342080337049,-0.43646613977525045,-0.3515977237078406,0.9153664875842055,1.4185149542695634,2.212640847471755,-0.40615599117974693,-0.3515977237078406,-0.27279133735953154,-0.49708643696625743,-0.4728383180898546,-0.4182800506179483,0.19398495101122226,-0.14346046706716048,-0.21397493393067998,-0.13859740038691773,-0.15926543377794933,-0.21762223394086205,-0.1531866004276459,0.6832608685741031,0.35135656764753703,0.9604556693479387,-0.1531866004276459,-0.1860123005192843,-0.12522396701625021,-0.22613260063128682,-0.22370106729116546,-0.22005376728098341,0.1653442671282527,0.44,0.63,0.77,0.37,0.57,0.73,9.51,8.13,13.42,0.95,0.81,1.34,0.27,0.19,0.29,4.4
-0.43741321271332617,-0.36295989991105787,-0.33588596798296033,-0.45095017867737497,-0.39003383183915546,-0.3561914169290335,0.5101744047700882,1.8909449331030632,2.2699799800964295,-0.43064472973130175,-0.29527507009081405,-0.2614326551806921,-0.48479259358749693,-0.45095017867737497,-0.37649686587510667,-0.03807271677388727,-0.8946440785926002,-0.43139795375500795,-0.38507334127124865,-0.9178063848344798,-0.5008848724806467,-0.4545602599968876,1.745858832981676,2.8576495325918976,4.363199438314073,-0.848319466108841,-0.732507934899443,-0.5703717912062857,-0.9641309973182391,-0.9872933035601188,-0.8251571598669615,-0.4545602599968876,-0.38515485043959896,-0.3637944427895692,-0.32107362748950974,-0.40651525808962874,-0.38515485043959896,-0.33175383131452457,1.1741549080125724,1.1047335831499758,2.071292029313822,-0.3424340351395394,-0.34777413705204685,-0.25165230262691307,-0.4385558695646733,-0.4492360733896882,-0.38515485043959896,0.05807360829851832,0.35,0.12,0.37,0.31,0.1,0.34,5.53,3.89,7.42,0.55,0.39,0.74,0.18,0.21,0.35,0.51
-0.3220790361226787,-0.2540491407040271,-0.23023867730749903,-0.33228352043547643,-0.27105661455869,-0.24724615116216195,0.7834067644304097,1.014708408853825,1.6609924153310154,-0.2880640884133529,-0.26425362501682487,-0.19962522436910582,-0.3628969733738696,-0.36629846814480227,-0.33908650997734163,0.018070440970579284,-0.47785686966970664,-0.25140560173581605,-0.23948711394982186,-0.5016938452416951,-0.30503879677279017,-0.2931203089867959,0.9583209085425995,1.3933457127313893,2.162088174928018,-0.4242236746327326,-0.3825089673817527,-0.30503879677279017,-0.5016938452416951,-0.5255308208136836,-0.4897753574557009,0.18361920245297378,-0.12612187538784622,-0.13692267827565463,-0.11472102789515956,-0.13212232143662866,-0.13992290130004587,-0.11772125091955077,0.49852455829040726,0.1811009623098154,0.6389349958319167,-0.10332018040247289,-0.1351225444610199,-0.08891910988539499,-0.154924016422002,-0.16092446247078446,-0.154924016422002,0.24710586884642244,0.83,0.69,1.08,0.69,0.53,0.95,11.68,10.53,17.52,1.17,1.05,1.75,0.25,0.26,0.29,8.44
-0.18205731182883061,-0.14045870626989193,-0.12828350464288552,-0.1891595127779177,-0.1587215087104016,-0.14147330640547584,0.17305273562552376,0.5667175882320652,0.7402142114169068,-0.19220331318466932,-0.15263390789689837,-0.1353857055919726,-0.22162671711660153,-0.21655371643868215,-0.21553911630309833,0.5941117918928296,-0.38306347381455885,-0.2570168808884315,-0.2333831447147826,-0.39488034190138327,-0.2767116610331389,-0.24913896883054854,0.8970972355914218,0.9876932242570761,1.7006442654954836,-0.34367391352514404,-0.3357960014672611,-0.26489479294631446,-0.4303309461618565,-0.44608677027762245,-0.42245303410397367,0.45199520432103485,-0.37416736445862664,-0.41037710940623573,-0.3258877045284813,-0.422447024388772,-0.422447024388772,-0.350027534493554,1.5630539902384564,0.7905794313561305,2.17861965434781,-0.3258877045284813,-0.40434215191496753,-0.26553812961579953,-0.45262181184511285,-0.48279659930145374,-0.39830719442369933,0.10259427735155895,0.85,0.72,1.11,0.7,0.65,1.03,7.9,3.68,9.34,0.79,0.37,0.93,0.17,0.08,0.14,8.13
-0.5328350654594869,-0.5219191102131978,-0.4673393339817523,-0.5655829311983542,-0.5546669759520652,-0.4891712444743305,1.453868789365131,1.8468431782315389,2.971186568599317,-0.4782552892280414,-0.4455074234891741,-0.32543191577999386,-0.5874148416909325,-0.5655829311983542,-0.3909276472577285,-0.3472638262725721,-0.7605593581515225,-0.42124770533867595,-0.37497793450056044,-0.775982615097561,-0.46751747617679135,-0.4058244483926375,1.8305478087829425,1.923087350459173,3.4654130450630216,-0.7142895873134071,-0.6988663303673686,-0.5446337609069838,-0.8530988998277534,-0.8993686706658688,-0.806829128989638,0.5041477114236329,-0.23973308766331936,-0.2853286823451988,-0.19128776831382246,-0.2596811603366416,-0.29387785634805125,-0.19698721764905738,0.7263235746590013,0.6237334866247728,1.26777126150632,-0.3138259290213735,-0.32522482769184335,-0.2596811603366416,-0.4050171183851324,-0.4050171183851324,-0.39646794438228,0.9543015480683988,0.42,1.2,1.27,0.36,1.09,1.2,5.9,5.53,8.98,0.59,0.55,0.9,0.17,0.09,0.12,9.53
-0.38349200686718243,-0.14566750648443363,-0.14170376481138783,-0.3914194902132741,-0.2328698232914415,-0.2249423399453499,0.1080119605904985,1.499285287829579,1.6974723714818696,-0.3795282651941366,-0.24079730663753315,-0.22097859827230407,-0.4072744569054573,-0.38745574854022824,-0.371600781848045,0.22296046910882703,-0.2342574315954711,-0.13138381772039243,-0.12732301717269195,-0.23831823214317158,-0.17875982411023128,-0.16928462283226353,0.2895858390578899,0.6794226916371353,0.9785683319844036,-0.21530702903953558,-0.17605262374509764,-0.1462734197286275,-0.250500633786273,-0.250500633786273,-0.24508623305600571,0.41547065603660466,-0.3653143626225726,-0.34608729090559504,-0.3028263795423957,-0.3845414343395501,-0.37492789848106134,-0.31724668333012884,1.124783695443184,1.0286483368582964,1.9611613151317056,-0.3220534512593732,-0.3364737550471063,-0.2403383964622188,-0.4229955777735051,-0.4278023457027495,-0.37492789848106134,0.10094212651413188,0.3,0.15,0.33,0.26,0.13,0.31,4.26,2.63,5.47,0.43,0.26,0.55,0.15,0.13,0.28,0.69
-0.2731167321636132,-0.2731167321636132,-0.23344218741351638,-0.29295400453866166,-0.2901201084850833,-0.2532794597885648,0.9454585708750761,0.7130790944816516,1.4895666131621188,-0.2391099795206731,-0.26178114794929985,-0.1824320584491061,-0.3241268611280235,-0.33262854928875857,-0.29862179664581834,0.10662533901588532,-0.3466826892963112,-0.30313083111204936,-0.27541601226751916,-0.36647898847097565,-0.32292713028671377,-0.2872937917723178,0.9242397177171466,1.0469767726000663,1.7556842830530532,-0.30709009094698225,-0.2952123114421836,-0.22394563441339155,-0.39023454748057296,-0.3981530671504387,-0.35856046880110987,0.14822479007030012,-0.5203861998938778,-0.542950371162989,-0.44141160045198846,-0.5655145424321002,-0.5655145424321002,-0.4639757717210997,1.4426967005187996,1.90526221153558,2.9996245180874745,-0.5316682855284335,-0.48653994299021097,-0.3737190866446548,-0.6444891418739896,-0.6219249706048784,-0.5091041142593222,-0.08038486014620881,0.16,0.23,0.28,0.14,0.2,0.24,2.33,2.42,3.71,0.23,0.24,0.37,0.11,0.1,0.24,0.29
