RDIST_ML,RDIST_AP,RDIST,MDIST_ML,MDIST_AP,MDIST,TOTEX_ML,TOTEX_AP,TOTEX,MVELO_ML,MVELO_AP,MVELO,MFREQ_ML,MFREQ_AP,MFREQ,AREA_CE,RDIST_ML,RDIST_AP,RDIST,MDIST_ML,MDIST_AP,MDIST,TOTEX_ML,TOTEX_AP,TOTEX,MVELO_ML,MVELO_AP,MVELO,MFREQ_ML,MFREQ_AP,MFREQ,AREA_CE,RDIST_ML,RDIST_AP,RDIST,MDIST_ML,MDIST_AP,MDIST,TOTEX_ML,TOTEX_AP,TOTEX,MVELO_ML,MVELO_AP,MVELO,MFREQ_ML,MFREQ_AP,MFREQ,AREA_CE,RDIST_ML,RDIST_AP,RDIST,MDIST_ML,MDIST_AP,MDIST,TOTEX_ML,TOTEX_AP,TOTEX,MVELO_ML,MVELO_AP,MVELO,MFREQ_ML,MFREQ_AP,MFREQ,AREA_CE
-0.3365839355587223,-0.23485736545282337,-0.21944424877011146,-0.3489144289048919,-0.2502704821355353,-0.23793998878936579,0.7115079988656908,0.9766136058083366,1.5376510530590515,-0.2934272088471288,-0.2656835988182473,-0.21019637876048428,-0.35816229891451906,-0.3704927922606886,-0.3489144289048919,0.24911449838433206,-0.21929105625834916,-0.14523900107965038,-0.12055498268675074,-0.23692249796756318,-0.15758101027610016,-0.12760755937043636,0.33609935758189186,0.3343362134109704,0.7257542193555211,-0.24750136299309153,-0.24750136299309153,-0.20871219123282078,-0.2951062556079693,-0.30039568812073353,-0.29686939977889076,1.2070925780170634,-0.17497464345062327,-0.1605861265148892,-0.14105885353067868,-0.1842244043378809,-0.17703014587001384,-0.15647512167610803,0.536229193658518,0.4313985702695983,0.8651095807610112,-0.15441961925671746,-0.16572488256336562,-0.12153158054646813,-0.21094593578995843,-0.2150569406287396,-0.20786268216087259,0.23715359163718833,0.34,0.42,0.54,0.27,0.36,0.48,6.21,3.19,7.64,0.62,0.32,0.76,0.21,0.09,0.25,2.57
-0.6552558036892091,-0.6371485621364849,-0.5103978712674152,-0.6733630452419335,-0.6552558036892091,-0.5285051128201395,2.3867607771684662,1.8073290474812898,3.8534473429391305,-0.6190413205837607,-0.6733630452419335,-0.4741833881619666,-0.8001137361110032,-0.8182209776637275,-0.6190413205837607,-0.38364718039834533,-0.9072876707377133,-0.7626999941261253,-0.6759473881591727,-0.9362052060600307,-0.8494526000930781,-0.7337824588038078,1.695290508270867,3.4881776982545563,4.818384323081163,-0.8783701354153957,-0.7048649234814903,-0.5602772468699025,-0.9940402767046659,-0.9362052060600307,-0.531359711547585,-0.531359711547585,-0.3467398504779029,-0.42547553704930435,-0.3104003028295637,-0.3891359894009652,-0.4375887195987508,-0.3406832592031797,1.6337654963565817,0.6465411185767009,2.1788587110816695,-0.3225134853790101,-0.41941894577458116,-0.26800416390650134,-0.4618150846976436,-0.4920980410712596,-0.40730576322513484,0.16201381659884542,0.36,0.17,0.4,0.26,0.14,0.34,3.52,1.62,4.18,0.35,0.16,0.42,0.12,0.08,0.2,1.15
-0.06411840815789975,-0.06284453249913353,-0.06086294814105274,-0.06496765859707722,-0.06383532467817392,-0.061995282059956046,0.186127387919731,0.20056464538574814,0.3320569217183946,-0.04401948109736605,-0.04260406369873692,-0.029440681891485982,-0.06171219858023022,-0.062136823799818955,-0.05789057160393156,-0.042320980219011095,-0.0672139127213165,-0.06660795548590809,-0.06433561585312658,-0.06797135926557699,-0.0678198699567249,-0.06479008377968287,0.19031791232725495,0.2047093966682045,0.3455944539006583,-0.04706583464398708,-0.045550941555466073,-0.03146243583222069,-0.0656990196327955,-0.06539604101509128,-0.06176029760264085,-0.024948395551580353,-0.03949983684876481,-0.048154131228657034,-0.03934390361669469,-0.041059169169466114,-0.04854396430883236,-0.04066933608929079,0.20851196875877695,0.03503624808075732,0.24437661213490686,-0.024218380105892078,-0.041604935481711576,-0.020631915768279087,-0.045893099363640145,-0.04675073214002586,-0.04620496582778041,-0.005350459025406345,0.31,0.45,0.55,0.27,0.39,0.51,10.0,9.41,15.25,1.0,0.94,1.52,0.34,0.27,0.48,2.63
-0.6454797000673753,-0.49964603227294907,-0.4731308199466897,-0.658737306230505,-0.539418850762338,-0.5129036384360787,0.9852058579975733,2.4833153544312254,3.2389989057296162,-0.5659340630885974,-0.4201003952941711,-0.3405547583153931,-0.618964487741116,-0.5924492754148567,-0.36706997064165237,-0.4731308199466897,-0.23416997225318728,-0.17149880427222575,-0.16302972751804176,-0.24263904900737127,-0.18335551172808337,-0.16980498892138898,0.21977254177107458,0.9379502505258769,1.1073317856095566,-0.22908852620067688,-0.1579482814655314,-0.1410101279571634,-0.261271017866576,-0.2511081257615553,-0.24602667970904488,0.18589623475433859,-0.13627598121410364,-0.10628084460824803,-0.0958979127062211,-0.1408906176150045,-0.11781743561050019,-0.10455035595791021,0.15502294159276336,0.37133402288499134,0.5109267740122424,-0.14262110626534233,-0.12070158336106322,-0.10685767415836064,-0.16800160647029708,-0.16569428826984664,-0.16684794737007186,0.535153615116972,0.34,0.21,0.4,0.23,0.17,0.31,4.6,2.79,5.89,0.46,0.28,0.59,0.17,0.12,0.3,0.97
-0.7159141755268147,-0.5965951462723456,-0.5284128438412203,-0.7670509023501586,-0.630686297487908,-0.5625039950567831,1.9602411948948493,2.0966057997571,3.750026633711886,-0.630686297487908,-0.6136407218801269,-0.4602305414100951,-0.7500053267423773,-0.7840964779579398,-0.5625039950567831,-0.20454690729337568,-0.8960737772250941,-0.54751995788308,-0.5010461153041449,-0.9193106985145615,-0.5939938004620153,-0.54751995788308,1.845882934932082,2.868307471668656,4.332233512905114,-0.8031260920672236,-0.7101784069093532,-0.5707568791725477,-0.9193106985145615,-0.9657845410934968,-0.7566522494882884,-0.3151507449884041,-0.35527654615751586,-0.16672303389556076,-0.15435886915707187,-0.36764071089600475,-0.20381552811102732,-0.185269281003294,0.3154793909055048,1.1315142636457696,1.4158900526310136,-0.3583675873421381,-0.2749094753573383,-0.24709010469573833,-0.40473320511147126,-0.40164216392684904,-0.39546008155760465,0.6524028800293262,0.79,0.46,0.91,0.7,0.38,0.81,5.28,4.59,7.75,0.53,0.46,0.78,0.11,0.13,0.15,3.97
-0.31714245437006,-0.300298373806007,-0.22871103140878177,-0.32977551479309974,-0.34240857521613943,-0.2539771522548613,0.7103464600371722,1.165136635266603,1.779945575854537,-0.38030775648525866,-0.33398653493411296,-0.27503225295992745,-0.4687391794465368,-0.45610611902349707,-0.43926203845944417,0.4703183119994172,-0.4603765847657452,-0.4691248334073746,-0.39039059563271034,-0.504117827973892,-0.4953695793322626,-0.4166353415575984,1.4729863650343435,1.429245121826197,2.6889929262208248,-0.43413183884085715,-0.43413183884085715,-0.3116563578580461,-0.5478590711820388,-0.5566073198236682,-0.44288008748248653,-0.1279431363838295,-0.14280130100083266,-0.1167539429696957,-0.10139268054107646,-0.15081587270272098,-0.1294436814976855,-0.11207877614359418,0.4449339571376427,0.1911391865778465,0.613239962877297,-0.13011156247284286,-0.15549103952882248,-0.1134145380939089,-0.18020263560964475,-0.18754932633637567,-0.18354204048543152,0.4542842907898458,0.63,0.38,0.74,0.47,0.3,0.59,10.87,7.46,14.35,1.1,0.75,1.45,0.28,0.25,0.39,2.86
-0.32635964980129606,-0.31819427936060685,-0.2773674271571609,-0.34269039068267443,-0.34269039068267443,-0.29369816803853926,0.6371540622000285,1.2822183270144745,1.8048020352185827,-0.32635964980129606,-0.2610366862757826,-0.20796177841130278,-0.3916826133268096,-0.36718650200474195,-0.33044233502164067,0.061495446131440465,-0.21870129351220316,-0.21540169832484318,-0.19725392479436335,-0.2286000790742831,-0.22200088869956314,-0.20220331757540327,0.6540416335445094,0.6309444672329897,1.1473311140548255,-0.17085716329548356,-0.17415675848284354,-0.12301303307876398,-0.2286000790742831,-0.23189967426164307,-0.20220331757540327,-0.017425987083244866,-0.24694296305836025,-0.2717488277978963,-0.21046829590240695,-0.2651030197991421,-0.2851177206325995,-0.2249963412950324,0.9153006683516774,0.543135420421442,1.3691475331968337,-0.23171942613098143,-0.26912141533327255,-0.18643519953481907,-0.3222106024861114,-0.32831547262450184,-0.30520969830325173,0.31980536092842277,0.47018554687499997,0.35481445312500004,0.6316406250000001,0.39090820312499996,0.30067382812500004,0.561708984375,6.3795703125,4.066669921875,8.385029296875,0.64001953125,0.41056640625,0.8427246093749999,0.17789062500000002,0.13664062500000002,0.24782226562499998,2.98740234375
-0.4434332562051651,-0.30713021284179787,-0.2856086796791609,-0.45060710059271075,-0.34299943477952605,-0.30713021284179787,0.15199582796112338,2.110455345761084,2.2898014554497252,-0.46495478936780205,-0.27126099090406963,-0.25691330212897834,-0.5008240113055302,-0.45060710059271075,-0.39321634549234563,-0.07756719244033722,-0.9041767509655593,-0.4252748580403527,-0.4252748580403527,-0.9041767509655593,-0.4851375946560036,-0.4851375946560036,1.3706072404291718,2.9469926379746436,3.964659160440708,-0.7245885411186068,-0.5649545768102047,-0.4651833491174533,-0.7245885411186068,-0.8243597688113582,-0.6447715589644057,-0.7046342955800566,-0.36866396802156204,-0.36866396802156204,-0.3219730169264829,-0.39979126875161475,-0.394603385296606,-0.34272455074651803,1.3381496886763298,0.8971795950005826,2.038513955102516,-0.30640936656145656,-0.34791243420152684,-0.2337789981913335,-0.4101670356616323,-0.4309185694816675,-0.34272455074651803,-0.005512126170946721,0.3,0.06,0.31,0.24,0.05,0.25,3.76,1.89,4.59,0.38,0.19,0.46,0.14,0.16,0.29,0.32
-0.3441777248529862,-0.17283847165921584,-0.16941168659534042,-0.351031294980737,-0.2071063222979699,-0.2036795372340945,0.16641324966444956,1.4343237232983503,1.591955836236619,-0.31333665927810755,-0.18654561191471744,-0.17283847165921584,-0.3270437995336092,-0.32019022940585834,-0.3030563040864813,-0.12143669570108472,-0.3835578162605653,-0.332755456490954,-0.31243451258310945,-0.40387876016840984,-0.3530764003987985,-0.32767522051399284,0.7188533907399998,1.4758085513072083,2.0041530929111655,-0.3429159284448763,-0.26671238879045933,-0.21591002902084802,-0.3987985241914487,-0.3835578162605653,-0.31243451258310945,-0.16510766925123674,-0.21373168058948672,-0.22319855879324474,-0.18857683279092974,-0.22373952326203092,-0.23428833040336125,-0.19723226429150845,0.7510784494906516,0.4957432202235783,1.1462529939389505,-0.18424911704064034,-0.20967444707359045,-0.14475871081924976,-0.25917269596752524,-0.26404137618660073,-0.24862388882619485,0.19821276239118343,0.36841552734375005,0.2954443359375,0.4805419921875,0.30078369140625,0.25094970703125,0.420029296875,6.652836914062499,5.3357958984375,9.383027343750001,0.6656396484375,0.533935546875,0.93794677734375,0.19399658203125,0.18687744140624998,0.3096826171875,2.3599951171875
-0.36026299198414846,-0.32004758822777835,-0.29323731905686495,-0.3826048829599096,-0.3379211010083873,-0.3111108318374739,0.6540588583154077,1.3689993695397642,1.8828628619822707,-0.33345272281323507,-0.2619586716907994,-0.21280651154412486,-0.391541639350214,-0.37813650476475735,-0.32451596642293057,0.0016756418231821495,-0.5546068062558819,-0.5546068062558819,-0.48236494275443725,-0.5907277380066042,-0.57868742742303,-0.5064455639215855,1.3236816447816775,2.082221211546846,3.1297282323177926,-0.5184858745051595,-0.446244011003715,-0.3378812157515481,-0.6148083591737524,-0.57868742742303,-0.3740021475022704,-0.39808276866941855,-0.2952181204134921,-0.3101658733458208,-0.24290098515034156,-0.3288505645112317,-0.34006137921047824,-0.2765334292480812,1.0799751493607501,0.7997047818795867,1.6965699578193099,-0.29148118218040997,-0.3213766880450673,-0.23169017045109505,-0.3961154527067109,-0.40358932917287527,-0.3699568850751357,0.23169017045109527,0.11,0.42,0.43,0.1,0.34,0.36,2.58,3.08,4.48,0.26,0.31,0.45,0.15,0.09,0.2,0.89
